x,10322
"25081,2","0,820291"
"25541,8","0,816057"
"25788,7","0,810875"
"26045,4","0,802746"
26367,"0,784297"
"26498,8","0,768066"
"26580,9","0,749501"
"26642,3","0,730876"
"26696,9","0,719773"
"26751,2","0,706239"
"26841,5","0,677257"
"26892,5","0,66613"

x,8848
"16815,2","0,827563"
"17447,2","0,829664"
"18426,1","0,831299"
"19086,9","0,830297"
"20044,3","0,825589"
"20574,9","0,821176"
"21178,3","0,813672"
"21698,3","0,800285"
"22082,9","0,7791"
22249,"0,764388"
"22347,4","0,748058"
"22497,8","0,730257"
"22539,1","0,715546"
"22580,3","0,700834"
"22589,7","0,693805"
"22630,5","0,674772"

x,8696
"15989,4","0,825432"
"16487,8","0,828676"
"18067,9","0,830065"
"19045,3","0,828532"
"19960,9","0,822059"
"20751,6","0,812643"
21334,"0,795577"
"21541,7","0,780866"
"21749,2","0,757327"
"21873,7","0,742615"
"21925,4","0,727904"
"22039,2","0,702158"
"22122,1","0,687888"
"22204,9","0,673177"

x,7865
"13466,8","0,820885"
"14424,4","0,82618"
"15340,2","0,82618"
"16002,5","0,824876"
"16703,9","0,819593"
"17365,9","0,812364"
"18003,8","0,801463"
"18419,7","0,787929"
"18710,8","0,773805"
"18866,1","0,76083"
"19080,4","0,742615"
19209,"0,722609"
"19291,8","0,707897"
"19416,3","0,693186"

x,6882
"11385,2","0,813824"
"12425,9","0,813824"
"13383,2","0,809704"
"14173,9","0,800877"
"14798,1","0,789107"
"15006,1","0,783222"
"15338,7","0,769099"
"15546,5","0,754976"
"15712,6","0,740264"
"15816,4","0,727751"
"15914,5","0,719225"
"15992,9","0,706806"
"16051,7","0,699484"
